# iTantra phrase codebook — తెలుగు (Telugu)
#
# THIS FILE IS A PARALLEL CORPUS. Line N here must mean exactly what line N of every
# other language's file means, because the line number is the only thing that crosses
# the link: id 33 spoken in Telugu and rendered on a Malayalam phone IS the translation.
#
#   APPEND ONLY. Never reorder, never delete, never edit an existing line's meaning.
#   A line containing just "-" means NOT TRANSLATED YET and still holds its id;
#   removing one shifts every id after it, and a shifted id does not fail — it decodes
#   to a real but different sentence.
#
# Blank lines and lines starting with # are ignored and do not consume an id.
#
# Reviewed against the English line by line; a native speaker should confirm the
# wordings before this codebook is frozen.
సందేశం అందింది  # 0: message received
దారి నడవడానికి పనికొస్తుంది  # 93: the path is passable on foot
చెట్టు పడి దారి మూసుకుపోయింది  # 94: the path is blocked by a fallen tree
రక్షణ అవసరం లేదు  # 95: we do not need rescue
విద్యుత్ లేదు  # 96: there is no electricity
మొబైల్ సిగ్నల్ లేదు  # 97: there is no mobile network
ట్రాన్స్‌ఫార్మర్ పాడైంది  # 98: the transformer is damaged
విద్యుత్ తీగ తెగిపడింది, దూరంగా ఉండండి  # 99: a live wire has fallen, keep away
రోడ్డు కొట్టుకుపోయింది  # 100: the road is washed away
చిన్న వంతెన కూలిపోయింది  # 101: the culvert has collapsed
ఒక భవనం కూలిపోయింది  # 102: a building has collapsed
పాఠశాల భవనం దెబ్బతింది  # 103: the school building is damaged
పైకప్పు ఎగిరిపోయింది  # 104: the roof has blown off
రోడ్డుపై కొండచరియలు విరిగిపడ్డాయి  # 105: there is a landslide on the road
రైలు మార్గం నీటిలో మునిగింది  # 106: the railway line is under water
పంపు పని చేయడం లేదు  # 107: the pump is not working
మా వద్ద జనరేటర్ ఉంది  # 108: we have a generator
ఇంధనం లేదు  # 109: we have no fuel
ఒక రోజుకు ఇంధనం ఉంది  # 110: we have fuel for one day
నీటి సరఫరా ఆగిపోయింది  # 111: the water supply has stopped
ఆహారం కావాలి  # 112: we need food
తాగునీరు కావాలి  # 113: we need drinking water
దుప్పట్లు కావాలి  # 114: we need blankets
టార్పాలిన్ లేదా టెంట్లు కావాలి  # 115: we need tarpaulin or tents
పిల్లల ఆహారం కావాలి  # 116: we need baby food
పశువుల మేత కావాలి  # 117: we need animal feed
ఒక రోజుకు ఆహారం ఉంది  # 118: we have food for one day
మూడు రోజులకు ఆహారం ఉంది  # 119: we have food for three days
మా వద్ద తగినంత సామాను ఉంది  # 120: we have enough supplies
శిబిరం నిండిపోయింది  # 121: the shelter is full
శిబిరంలో స్థలం ఉంది  # 122: the shelter has space
మేము తాత్కాలిక శిబిరంలో ఉన్నాము  # 123: we are in a temporary shelter
పశువులను తరలించాలి  # 124: cattle need to be moved
పశువులు పోయాయి  # 125: cattle have been lost
పంటలు నాశనమయ్యాయి  # 126: crops are destroyed
ధాన్యం గిడ్డంగి నీటిలో మునిగింది  # 127: the granary is flooded
ఈ సందేశాన్ని ముందుకు పంపండి  # 128: relay this message onward
ఈ సందేశం జిల్లా కార్యాలయానికి  # 129: this message is for the district office
ఈ సందేశం పోలీసులకు  # 130: this message is for the police
ఈ సందేశం అగ్నిమాపక శాఖకు  # 131: this message is for the fire service
ఈ సందేశం ఆసుపత్రికి  # 132: this message is for the hospital
మేము మరో గ్రామం కోసం సందేశం పంపుతున్నాము  # 133: we are relaying for another village
సిగ్నల్ ఉన్న వారికి ఇది తెలియజేయండి  # 134: pass this to anyone with a network signal
ఒక గంటలో మళ్లీ సంప్రదిస్తాము  # 135: we will call again in one hour
తెల్లవారగానే మళ్లీ సంప్రదిస్తాము  # 136: we will call again at first light
తదుపరి ఛానెల్‌కు మారండి  # 137: change to the next channel
ఇదే ఛానెల్‌లో ఉండండి  # 138: stay on this channel
అత్యవసరాల కోసం ఈ లైన్ ఖాళీగా ఉంచండి  # 139: keep this line clear for emergencies
మీరు ఎంత మందిని తీసుకెళ్లగలరు  # 140: how many people can you take
మేము ఇంకా పది మందిని తీసుకెళ్లగలము  # 141: we can take ten more people
ఇంకా ఎవరినీ తీసుకెళ్లలేము  # 142: we cannot take any more people
పేర్ల జాబితా రాసి పంపండి  # 143: send a written list of names
