# iTantra phrase codebook — ಕನ್ನಡ (Kannada)
#
# THIS FILE IS A PARALLEL CORPUS. Line N here must mean exactly what line N of every
# other language's file means, because the line number is the only thing that crosses
# the link: id 33 spoken in Telugu and rendered on a Malayalam phone IS the translation.
#
#   APPEND ONLY. Never reorder, never delete, never edit an existing line's meaning.
#   A line containing just "-" means NOT TRANSLATED YET and still holds its id;
#   removing one shifts every id after it, and a shifted id does not fail — it decodes
#   to a real but different sentence.
#
# Blank lines and lines starting with # are ignored and do not consume an id.
#
# Reviewed against the English line by line; a native speaker should confirm the
# wordings before this codebook is frozen.
ಸಂದೇಶ ತಲುಪಿದೆ  # 0: message received
ಒಂದು ದಿನಕ್ಕೆ ಇಂಧನ ಇದೆ  # 110: we have fuel for one day
ನೀರಿನ ಪೂರೈಕೆ ನಿಂತಿದೆ  # 111: the water supply has stopped
ಆಹಾರ ಬೇಕು  # 112: we need food
ಕುಡಿಯುವ ನೀರು ಬೇಕು  # 113: we need drinking water
ಹೊದಿಕೆಗಳು ಬೇಕು  # 114: we need blankets
ಟಾರ್ಪಾಲ್ ಅಥವಾ ಟೆಂಟ್ ಬೇಕು  # 115: we need tarpaulin or tents
ಮಕ್ಕಳ ಆಹಾರ ಬೇಕು  # 116: we need baby food
ಪಶು ಆಹಾರ ಬೇಕು  # 117: we need animal feed
ಒಂದು ದಿನಕ್ಕೆ ಆಹಾರ ಇದೆ  # 118: we have food for one day
ಮೂರು ದಿನಕ್ಕೆ ಆಹಾರ ಇದೆ  # 119: we have food for three days
ನಮ್ಮಲ್ಲಿ ಸಾಕಷ್ಟು ಸಾಮಗ್ರಿ ಇದೆ  # 120: we have enough supplies
ಶಿಬಿರ ತುಂಬಿದೆ  # 121: the shelter is full
ಶಿಬಿರದಲ್ಲಿ ಜಾಗ ಇದೆ  # 122: the shelter has space
ನಾವು ತಾತ್ಕಾಲಿಕ ಶಿಬಿರದಲ್ಲಿದ್ದೇವೆ  # 123: we are in a temporary shelter
ಜಾನುವಾರುಗಳನ್ನು ಸ್ಥಳಾಂತರಿಸಬೇಕು  # 124: cattle need to be moved
ಜಾನುವಾರುಗಳು ಕಳೆದುಹೋಗಿವೆ  # 125: cattle have been lost
ಬೆಳೆ ನಾಶವಾಗಿದೆ  # 126: crops are destroyed
ಧಾನ್ಯದ ಗೋದಾಮು ನೀರಿನಲ್ಲಿ ಮುಳುಗಿದೆ  # 127: the granary is flooded
ಈ ಸಂದೇಶವನ್ನು ಮುಂದೆ ಕಳುಹಿಸಿ  # 128: relay this message onward
ಈ ಸಂದೇಶ ಜಿಲ್ಲಾ ಕಚೇರಿಗೆ  # 129: this message is for the district office
ಈ ಸಂದೇಶ ಪೊಲೀಸರಿಗೆ  # 130: this message is for the police
ಈ ಸಂದೇಶ ಅಗ್ನಿಶಾಮಕ ದಳಕ್ಕೆ  # 131: this message is for the fire service
ಈ ಸಂದೇಶ ಆಸ್ಪತ್ರೆಗೆ  # 132: this message is for the hospital
ನಾವು ಇನ್ನೊಂದು ಹಳ್ಳಿಗಾಗಿ ಸಂದೇಶ ಕಳುಹಿಸುತ್ತಿದ್ದೇವೆ  # 133: we are relaying for another village
ನೆಟ್‌ವರ್ಕ್ ಇರುವ ಯಾರಿಗಾದರೂ ಇದನ್ನು ತಿಳಿಸಿ  # 134: pass this to anyone with a network signal
ಒಂದು ಗಂಟೆಯಲ್ಲಿ ಪುನಃ ಸಂಪರ್ಕಿಸುತ್ತೇವೆ  # 135: we will call again in one hour
ಬೆಳಗಾಗುತ್ತಲೇ ಪುನಃ ಸಂಪರ್ಕಿಸುತ್ತೇವೆ  # 136: we will call again at first light
ಮುಂದಿನ ಚಾನೆಲ್‌ಗೆ ಬದಲಾಯಿಸಿ  # 137: change to the next channel
ಇದೇ ಚಾನೆಲ್‌ನಲ್ಲಿ ಇರಿ  # 138: stay on this channel
ತುರ್ತು ಸಂದರ್ಭಕ್ಕೆ ಈ ಮಾರ್ಗವನ್ನು ಖಾಲಿ ಇಡಿ  # 139: keep this line clear for emergencies
ನೀವು ಎಷ್ಟು ಜನರನ್ನು ಕರೆದೊಯ್ಯಬಹುದು  # 140: how many people can you take
ನಾವು ಇನ್ನೂ ಹತ್ತು ಜನರನ್ನು ಕರೆದೊಯ್ಯಬಹುದು  # 141: we can take ten more people
ಇನ್ನು ಯಾರನ್ನೂ ಕರೆದೊಯ್ಯಲು ಆಗುವುದಿಲ್ಲ  # 142: we cannot take any more people
ಹೆಸರುಗಳ ಪಟ್ಟಿ ಬರೆದು ಕಳುಹಿಸಿ  # 143: send a written list of names
